Date,Time,Module,Message
2024-01-06,07:22:44,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,07:22:44,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,07:22:44,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,07:22:44,AlarmHelper,setStatusBarIcon: true
2024-01-06,07:22:44,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-06,07:22:44,Test,Set Shutdown Alarm Success.
2024-01-06,07:22:44,AlarmHelper,setZenMode
2024-01-06,07:30:01,AlarmReceiver,"AlarmReceiver, action: com.android.deskclock.ALARM_ARRIVING"
2024-01-06,07:30:01,NotificationUtil,showAlarmArrivingNotification
2024-01-06,07:30:02,RingtoneHelper,updateRingtone start
2024-01-06,07:46:28,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,07:46:28,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,07:46:28,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,07:46:28,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,07:46:28,AlarmHelper,setStatusBarIcon: true
2024-01-06,07:46:28,NotificationUtil,showAlarmArrivingNotification
2024-01-06,07:46:28,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-06,07:46:28,Test,Set Shutdown Alarm Success.
2024-01-06,07:46:28,AlarmHelper,setZenMode
2024-01-06,08:11:35,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,08:11:35,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,08:11:35,AlarmHelper,clearAlarmArrivingAlarm
